,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.0601161247.00,64.0,0.0025607317941554993,0.0020540629364883744
ur.01343017166.91,3.0,0.00010955002327937996,5.4775011639689975e-05
ur.01074275736.60,25.0,0.0009859502095144203,0.0007531564100457376
ur.01340602507.92,0.0,0.0,0.0
ur.0757327271.66,13.0,8.216251745953497e-05,8.216251745953497e-05
ur.01102103335.26,4.0,0.0,0.0
ur.01043107510.20,12.0,0.0007531564100457376,0.0008627064333251177
ur.01313400767.61,47.0,0.001081806479883878,0.001163968997343413
ur.013067771005.42,76.0,0.0013830690439021731,0.0015884753375510108
ur.014127304722.30,5.0,0.0,0.0
ur.0603746426.39,67.0,0.0009037876920548853,0.0013146002793525606
ur.01304747700.67,23.0,5.4775011639689975e-05,4.108125872976748e-05
ur.0702436753.83,12.0,2.7387505819844987e-05,2.7387505819844987e-05
ur.01050125137.24,9.0,0.0,0.0
ur.0616300414.35,22.0,6.846876454961247e-05,4.108125872976748e-05
ur.013623676477.53,32.0,0.00060252512803659,0.0005340563634869775
ur.01145701351.74,30.0,0.0001780187878289924,0.0001780187878289924
ur.01000642214.09,12.0,0.0,0.0
ur.01121673270.37,55.0,0.0006846876454961251,0.0006846876454961251
ur.01137731670.53,52.0,0.000520362610577055,0.0003834250814778299
ur.011367771037.28,43.0,0.0010681127269739554,0.001136581491523568
ur.014032363473.00,0.0,0.0,0.0
ur.0642075131.67,143.0,0.005532276175608637,0.005997863774545995
ur.0716344472.05,5.0,0.0,0.0
ur.01352535151.12,5.0,0.0,0.0
ur.01371342750.08,5.0,0.0,0.0
ur.01030603710.39,5.0,0.0,0.0
ur.01213145510.28,5.0,0.0,0.0
ur.01261260710.39,5.0,0.0,0.0
ur.0665322625.14,11.0,0.0,0.0
ur.01367667014.02,17.0,0.0003697313285679074,0.0003286500698381399
ur.0762340673.46,11.0,0.0,0.0
ur.01323214730.92,11.0,0.0,0.0
ur.01024215217.05,8.0,0.0,0.0
ur.01245154131.53,8.0,0.0,0.0
ur.01346205263.23,8.0,0.0,0.0
ur.01052635502.81,8.0,0.0,0.0
ur.010236753162.35,11.0,0.0,0.0
ur.013731305723.57,0.0,0.0,0.0
ur.01313404736.94,14.0,0.00060252512803659,0.000575137622216745
ur.0601416352.03,6.0,0.00042450634020759745,0.0003560375756579849
ur.0703575707.40,7.0,0.0,0.0
ur.011374533762.27,0.0,0.0,0.0
ur.0603224430.82,2.0,0.0,0.0
ur.01317645246.07,2.0,0.0,0.0
ur.0717453030.66,2.0,0.0,0.0
ur.013137506121.25,8.0,0.0,0.0
ur.07776352557.00,8.0,0.0,0.0
ur.012356222656.68,8.0,0.0,0.0
ur.010316665737.03,28.0,0.0016432503491907008,0.0016569441021006234
ur.0762341067.87,8.0,0.0,0.0
ur.0714225667.35,8.0,0.0,0.0
ur.0625574674.45,8.0,0.0,0.0
ur.01272705116.37,60.0,0.0021910004655875974,0.0019308191602990736
ur.01104630560.41,0.0,0.0,0.0
ur.0700416746.04,16.0,0.0002601813052885273,0.00020540629364883736
ur.01233577445.94,0.0,0.0,0.0
ur.01367673420.84,267.0,0.02032152931832531,0.02059540437652379
ur.01147025663.69,0.0,0.0,0.0
ur.01264320607.89,13.0,0.0,0.0
ur.01042617755.32,43.0,0.0010544189740640329,0.0013146002793525606
ur.0742400267.05,13.0,0.0,0.0
ur.0677160615.86,13.0,0.0,0.0
ur.01326363472.90,13.0,0.0,0.0
ur.07776250143.75,13.0,0.0,0.0
ur.011337146302.84,13.0,0.0,0.0
ur.014423511452.23,13.0,0.0,0.0
ur.0735057253.08,13.0,0.0,0.0
ur.01323662043.33,13.0,0.0,0.0
ur.01014255361.20,13.0,0.0,0.0
ur.01137512355.14,21.0,0.00015063128200914743,0.0003697313285679074
ur.0656440617.87,13.0,0.0,0.0
ur.01040047466.46,14.0,2.7387505819844987e-05,0.0
ur.01300360024.27,21.0,4.108125872976748e-05,6.846876454961247e-05
ur.01051610546.36,15.0,0.0,0.0
ur.01366105530.81,15.0,0.0,0.0
ur.0604167003.90,49.0,0.000465587598937365,0.00041081258729767494
ur.0612526055.15,14.0,0.0,0.0
ur.0671015651.18,14.0,0.0,0.0
ur.0752713675.29,14.0,0.0,1.3693752909922494e-05
ur.01067352154.01,17.0,0.00039711883438775243,0.00020540629364883736
ur.0631235426.17,10.0,9.585627036945747e-05,0.00010955002327937996
ur.0712634747.43,1.0,0.0,0.0
ur.016011204143.72,1.0,0.0,0.0
ur.01342147156.42,2.0,0.0,0.0
ur.01013570753.21,12.0,0.0,0.0
ur.0617063137.41,2.0,0.0,0.0
ur.01216436653.58,3.0,0.0,0.0
ur.01201650623.59,2.0,0.0,0.0
ur.0724776353.89,4.0,0.0,0.0
ur.01017333711.45,3.0,0.0,0.0
ur.01061665775.61,3.0,0.0,0.0
ur.01147222264.90,11.0,1.3693752909922494e-05,2.7387505819844987e-05
ur.0643257726.02,13.0,0.0002464875523786048,0.00019171254073891488
ur.01070225647.59,5.0,1.3693752909922494e-05,1.3693752909922494e-05
ur.01173555410.32,2.0,0.0,0.0
ur.0630552552.45,2.0,0.0,0.0
ur.01064537041.67,2.0,0.0,0.0
ur.01207667557.13,0.0,0.0,0.0
ur.0716707221.48,2.0,0.0,0.0
ur.01131746474.31,11.0,4.108125872976748e-05,4.108125872976748e-05
ur.0622334005.28,52.0,0.0018486566428395385,0.0015747815846410883
ur.0614626511.87,9.0,0.0,1.3693752909922494e-05
ur.01040207200.23,2.0,0.0,0.0
ur.0611307174.10,6.0,0.0,0.0
ur.01027557547.88,67.0,0.002122531701037986,0.0021088379481280636
ur.0635076355.31,45.0,0.0007120751513159701,0.0006573001396762801
ur.0600404216.27,50.0,0.0012050502560731805,0.0014241503026319407
ur.01044050300.32,3.0,0.0,0.0
ur.0750336552.73,3.0,0.0,0.0
ur.0762345750.82,3.0,0.0,0.0
ur.0666575371.63,0.0,0.0,0.0
ur.0602413756.06,0.0,0.0,0.0
ur.01044773603.63,18.0,0.0003423438227480624,0.0003834250814778299
ur.01365372436.07,15.0,0.0,4.108125872976748e-05
ur.0707632123.37,2.0,0.0,0.0
ur.01206203750.42,2.0,0.0,0.0
ur.07467366251.36,11.0,8.216251745953497e-05,9.585627036945747e-05
ur.015154750322.73,1.0,0.0,0.0
