,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.01100446466.27,12.0,0.0,0.0
ur.0603700120.81,12.0,0.0,0.0
ur.0651030511.88,19.0,2.7387505819844987e-05,0.0
ur.015731453057.24,12.0,0.0,0.0
ur.01317762565.74,72.0,0.006436063867663508,0.006490838879303198
ur.0707470134.87,12.0,0.0,0.0
ur.0761436257.67,22.0,0.00039711883438775243,0.00043820009311751996
ur.0644372162.95,11.0,0.0,0.0
ur.01112361213.46,11.0,0.0,0.0
ur.012670622367.52,11.0,0.0,0.0
ur.0711460564.17,20.0,0.00020540629364883736,0.00028756881110837234
ur.01064007376.79,11.0,0.0,0.0
ur.01246714040.91,11.0,0.0,0.0
ur.01313000422.44,11.0,0.0,0.0
ur.01267372111.63,11.0,0.0,0.0
ur.01136326540.00,11.0,0.0,0.0
ur.01252555140.84,11.0,0.0,0.0
ur.011003353627.22,11.0,0.0,0.0
ur.01327421644.56,43.0,0.0005888313751266675,0.0007668501629556602
ur.01142167640.83,10.0,0.0,0.0
ur.0723737635.03,10.0,0.0,0.0
ur.07413030227.44,10.0,0.0,0.0
ur.0575613120.83,10.0,0.0,0.0
ur.01035565767.06,10.0,0.0,0.0
ur.0637375073.60,10.0,0.0,0.0
ur.0610752067.66,10.0,0.0,0.0
ur.015202025043.49,10.0,0.0,0.0
ur.0761500141.80,10.0,0.0,0.0
ur.0616337446.39,26.0,0.00042450634020759745,0.000520362610577055
ur.01107542267.45,10.0,0.0,0.0
ur.01003506525.44,10.0,0.0,0.0
ur.01315073317.65,10.0,0.0,0.0
ur.01165432636.78,10.0,0.0,0.0
ur.01245430530.35,10.0,0.0,0.0
ur.01004554636.56,10.0,0.0,0.0
ur.0756363265.88,10.0,0.0,0.0
ur.0624370336.93,10.0,0.0,0.0
ur.01346527264.88,10.0,0.0,0.0
ur.010661701022.77,155.0,0.013830690439021548,0.013693752909922325
ur.01116422750.36,10.0,0.0,0.0
ur.01167116436.86,10.0,0.0,0.0
ur.01307017631.44,18.0,0.0,0.0
ur.0600121677.67,18.0,0.0,0.0
ur.01313373632.27,43.0,0.0010270314682441879,0.0011776627502533355
ur.01364250662.49,18.0,0.0,0.0
ur.01126322243.14,18.0,0.0,0.0
ur.01062745227.36,75.0,0.006038945033275762,0.006093720044915451
ur.01365631437.23,18.0,0.0,0.0
ur.0711624724.28,18.0,0.0,0.0
ur.0660713014.16,18.0,0.0,0.0
ur.01313452061.07,18.0,0.0,0.0
ur.0653404115.88,18.0,0.0,0.0
ur.013503714052.86,18.0,0.0,0.0
ur.01106522134.30,35.0,0.00020540629364883736,8.216251745953497e-05
ur.014462113777.23,31.0,0.00031495631692821736,9.585627036945747e-05
ur.012332732537.73,109.0,0.0029989318872730127,0.0033275819571111477
ur.012425201757.31,62.0,0.0023827130063265095,0.002451181770876121
ur.01162002733.02,18.0,0.0,0.0
ur.01250357245.06,182.0,0.0034508257333004484,0.0032317256867416917
ur.01244545531.69,39.0,0.005217319858680424,0.005641826198888015
ur.01151042723.21,8.0,0.0,0.0
ur.07773763167.28,52.0,0.00039711883438775243,0.00043820009311751996
ur.0625121302.28,8.0,0.0,0.0
ur.0661041342.10,8.0,0.0,0.0
ur.01257156522.04,8.0,0.0,0.0
ur.01247333552.50,8.0,0.0,0.0
ur.01137065726.05,8.0,0.0,0.0
ur.01014000656.88,8.0,0.0,0.0
ur.01134314703.76,8.0,0.0,0.0
ur.010676220462.77,0.0,0.0,0.0
ur.0637020062.83,0.0,0.0,0.0
ur.01123442700.40,0.0,0.0,0.0
ur.012015172137.23,22.0,4.108125872976748e-05,0.0
ur.01065510775.37,0.0,0.0,0.0
ur.0664052354.49,77.0,0.0029852381343630904,0.0027524443348944114
ur.014530766637.73,12.0,2.7387505819844987e-05,5.4775011639689975e-05
ur.0750724423.43,2.0,0.0,0.0
ur.010303503657.05,2.0,0.0,0.0
ur.0645544507.23,2.0,0.0,0.0
ur.01145321243.40,0.0,0.0,0.0
ur.01177233546.94,6.0,0.0,0.0
ur.01007021433.04,6.0,0.0,0.0
ur.0672573033.01,6.0,0.0,0.0
ur.01354644527.80,6.0,0.0,0.0
ur.0703504620.54,6.0,0.0,0.0
ur.0645303344.26,6.0,0.0,0.0
ur.0707541310.67,6.0,0.0,0.0
ur.01147125351.90,31.0,9.585627036945747e-05,0.00012324377618930246
ur.01257512651.22,31.0,0.0001643250349190699,8.216251745953497e-05
ur.01050747253.97,17.0,0.0,0.0
ur.0651004675.46,17.0,0.0,0.0
ur.01070320126.23,17.0,0.0,0.0
ur.0606454521.42,17.0,0.0,0.0
ur.01075152702.81,17.0,0.0,0.0
ur.01071762456.86,17.0,0.0,0.0
ur.01107702107.14,17.0,0.0,0.0
ur.01340357107.41,17.0,0.0,0.0
ur.01364047122.71,17.0,0.0,0.0
ur.01352264063.04,17.0,0.0,0.0
ur.01157147354.72,17.0,0.0,0.0
ur.010544521117.34,17.0,0.0,0.0
ur.013641612452.55,31.0,0.00010955002327937996,0.00013693752909922494
ur.015000506517.68,17.0,0.0,0.0
ur.012717120252.19,31.0,8.216251745953497e-05,0.00010955002327937996
ur.010207412377.61,31.0,0.00010955002327937996,0.00010955002327937996
ur.01145473703.03,27.0,0.0005477501163969,0.0007942376687755052
ur.01104637520.44,12.0,0.0,0.0
ur.0764244663.40,0.0,0.0,0.0
