,total,LMICs,LMICs_perc,HICs,Unknown,Avg BC,Avg DC,Avg CC
65,21,1,0.047619047619047616,20,0,209712.95108318728,19.238095238095237,0.11046356684188144
66,20,0,0.0,20,0,12102.021320943772,24.95,0.14673224757813974
67,22,1,0.045454545454545456,21,0,20210.07839733006,28.0,0.14112503875611146
68,29,0,0.0,29,0,89064.97307248703,23.96551724137931,0.13139181035231104
69,11,0,0.0,11,0,0.0,27.90909090909091,0.10572240150329694
70,48,2,0.041666666666666664,46,0,83756.08053809124,21.625,0.11006103829878117
71,42,0,0.0,42,0,23413.115236019185,22.0,0.12236217090486042
72,19,1,0.05263157894736842,18,0,0.0,15.631578947368421,0.11730904721316729
73,18,1,0.05555555555555555,17,0,28066.042959430863,20.11111111111111,0.1303551669990894
74,35,4,0.11428571428571428,31,0,107035.25998631286,25.457142857142856,0.10547532254662143
75,25,2,0.08,23,0,0.0,19.32,0.1293971463338964
76,24,2,0.08333333333333333,22,0,23917.211362835613,23.25,0.11804333125086758
77,30,2,0.06666666666666667,28,0,10749.021542508182,16.933333333333334,0.09805252788164918
78,14,1,0.07142857142857142,13,0,41662.425992454904,32.785714285714285,0.10623147846513711
79,26,1,0.038461538461538464,25,0,258021.9732501904,29.346153846153847,0.12021245802770017
80,34,1,0.029411764705882353,33,0,222484.99063764568,31.323529411764707,0.13388031214538468
81,28,6,0.21428571428571427,22,0,46131.236051216874,28.321428571428573,0.14072309920969028
82,27,2,0.07407407407407407,25,0,16225.922881084898,19.59259259259259,0.10453906820612383
83,38,2,0.05263157894736842,36,0,1429312.4851491256,32.3421052631579,0.11265422504275693
84,19,0,0.0,19,0,15112.274617407596,22.42105263157895,0.12547046436317355
85,12,1,0.08333333333333333,11,0,2754.963574439587,23.25,0.09207679666094015
86,34,1,0.029411764705882353,33,0,197741.98073558824,22.058823529411764,0.1196018420024623
87,15,0,0.0,15,0,119100.76492561465,24.2,0.13956499369158099
88,22,2,0.09090909090909091,20,0,172.9380199003783,27.136363636363637,0.13470463751057501
89,39,1,0.02564102564102564,38,0,151558.86173269348,24.333333333333332,0.12642001507247652
90,21,2,0.09523809523809523,19,0,13160.533462534859,24.333333333333332,0.1162008827188113
91,26,3,0.11538461538461539,23,0,29201.685800277577,21.96153846153846,0.12400077662447354
92,15,0,0.0,15,0,17715.88442528893,24.933333333333334,0.11850942959184428
93,17,3,0.17647058823529413,14,0,86340.42662349949,35.529411764705884,0.13245990652997552
94,24,3,0.125,21,0,95900.24445898274,26.833333333333332,0.10679431992493459
95,20,0,0.0,20,0,708.488691092449,29.65,0.0847810729337674
96,38,1,0.02631578947368421,37,0,57890.84041676864,21.92105263157895,0.12484967520864938
97,30,0,0.0,30,0,52319.7227348493,16.466666666666665,0.09659243419780307
98,27,4,0.14814814814814814,23,0,93894.11576473285,16.444444444444443,0.12051499482591144
99,33,2,0.06060606060606061,31,0,76278.25129965918,23.424242424242426,0.10120771735003431
100,16,1,0.0625,15,0,65612.11304556282,24.25,0.12488580958487237
101,25,0,0.0,25,0,102658.076497894,25.52,0.1296316492145078
102,33,1,0.030303030303030304,32,0,38666.03937742381,17.12121212121212,0.10179902893815286
103,25,3,0.12,22,0,585687.7041101124,22.32,0.09123606304661896
104,25,1,0.04,24,0,40154.41450666085,24.72,0.12195186632857374
105,19,1,0.05263157894736842,18,0,17120.46270661348,24.05263157894737,0.14271395134169734
106,34,0,0.0,34,0,6759.009045724764,20.61764705882353,0.09875749883969404
107,27,3,0.1111111111111111,24,0,130481.37862796326,26.037037037037038,0.1398104857589376
108,24,1,0.041666666666666664,23,0,20831.02651255432,21.541666666666668,0.11786968685054415
109,20,0,0.0,20,0,109672.55350672395,25.55,0.11751460148530006
110,24,2,0.08333333333333333,22,0,180538.62224961596,23.916666666666668,0.12086255723930588
111,20,0,0.0,20,0,0.0,12.45,0.07711093832891486
112,37,2,0.05405405405405406,35,0,102358.52537181597,19.91891891891892,0.11199642260148329
113,34,3,0.08823529411764706,31,0,48522.392940145284,16.38235294117647,0.1065718036042083
114,13,0,0.0,13,0,19226.198829648838,25.0,0.13662214442377996
115,21,1,0.047619047619047616,20,0,106473.44352776167,21.0,0.10755342192802989
116,18,0,0.0,18,0,372001.2992357034,19.22222222222222,0.08910775634942895
117,17,0,0.0,17,0,29402.35033696907,24.235294117647058,0.12810691509210215
118,16,2,0.125,14,0,36756.225011562485,29.5,0.12128806267133899
119,26,0,0.0,26,0,53776.13070484433,27.73076923076923,0.13511667892210005
120,17,1,0.058823529411764705,16,0,242499.83125085675,33.0,0.1337728604254917
121,16,2,0.125,14,0,82423.02308877252,21.625,0.13458471815908385
122,11,1,0.09090909090909091,10,0,18988.43554865528,26.0,0.131338100394195
