researcher_id,journal.title,aff_country_code,LMIC
ur.0616337446.39,PLOS,US,1
ur.0616351764.05,PLOS,GB,1
ur.0616362026.00,PLOS,US,1
ur.0616362110.55,PLOS,PG,2
ur.0616413132.36,PLOS,GB,1
ur.0616423567.95,PLOS,GB,1
ur.0616427166.91,PLOS,AU,1
ur.0616445365.00,PLOS,GB,1
ur.0616445543.17,PLOS,US,1
ur.0616464166.52,PLOS,GB,1
ur.0616477064.25,PLOS,US,1
ur.0616515131.22,PLOS,US,1
ur.0616560771.52,PLOS,US,1
ur.0616565710.62,PLOS,FR,1
ur.0616566521.26,PLOS,DE,1
ur.0616576630.74,PLOS,VN,2
ur.0616577511.24,PLOS,ES,1
ur.0616604221.96,PLOS,NL,1
ur.0616615367.33,PLOS,IN,2
ur.0616617462.27,PLOS,CH,1
ur.0616622774.31,PLOS,KE,2
ur.0616627641.50,PLOS,US,1
ur.0616700763.46,PLOS,BD,2
ur.0616707353.11,PLOS,ZA,2
ur.0616720651.48,PLOS,UG,2
ur.0616730370.53,PLOS,NL,1
ur.0616745641.40,PLOS,CN,2
ur.0616772073.64,PLOS,US,1
ur.0616773170.17,PLOS,JP,1
ur.0616777671.23,PLOS,GB,1
ur.0617013271.04,PLOS,ES,1
ur.0617016667.13,PLOS,ZA,2
ur.0617030551.71,PLOS,US,1
ur.0617077157.62,PLOS,GB,1
ur.0617122410.57,PLOS,ZM,2
ur.0617126302.35,PLOS,AU,1
ur.0617136146.33,PLOS,CA,1
ur.0617157137.43,PLOS,AU,1
ur.0617170526.55,PLOS,AR,1
ur.0617201572.66,PLOS,US,1
ur.0617203175.72,PLOS,CH,1
ur.0617223744.55,PLOS,GB,1
ur.0617252006.55,PLOS,LK,2
ur.0617255623.41,PLOS,GB,1
ur.0617273271.44,PLOS,ZA,2
ur.0617274515.09,PLOS,US,1
ur.0617350374.21,PLOS,US,1
ur.0617352016.37,PLOS,AU,1
ur.0617364150.79,PLOS,TZ,2
ur.0617374212.31,PLOS,CH,1
ur.0617411615.40,PLOS,US,1
ur.0617441453.09,PLOS,NL,1
ur.0617446162.08,PLOS,GB,1
ur.0617453577.34,PLOS,FR,1
ur.0617465344.57,PLOS,NG,2
ur.0617465726.59,PLOS,PL,1
ur.0617466356.96,PLOS,US,1
ur.0617470042.27,PLOS,CH,1
ur.0617474303.38,PLOS,US,1
ur.0617505032.58,PLOS,US,1
ur.0617514601.01,PLOS,GM,2
ur.0617520361.29,PLOS,BR,2
ur.0617521754.74,PLOS,UG,2
ur.0617523415.53,PLOS,US,1
ur.0617535606.25,PLOS,US,1
ur.0617607412.02,PLOS,TH,2
ur.0617611760.11,PLOS,PG,2
ur.0617621650.87,PLOS,US,1
ur.0617637416.44,PLOS,US,1
ur.0617643144.48,PLOS,CN,2
ur.0617651761.16,PLOS,ES,1
ur.0617661121.21,PLOS,AU,1
ur.0617704452.35,PLOS,GB,1
ur.0617712610.16,PLOS,US,1
ur.0617727112.93,PLOS,FR,1
ur.0617730650.46,PLOS,US,1
ur.0617745747.40,PLOS,GB,1
ur.0617776357.52,PLOS,BR,2
ur.0620022211.09,PLOS,US,1
ur.0620034630.87,PLOS,GB,1
ur.0620035031.01,PLOS,GB,1
ur.0620045106.03,PLOS,GB,1
ur.0620061004.77,PLOS,US,1
ur.062015002.66,PLOS,IT,1
ur.0620151646.56,PLOS,CH,1
ur.0620171347.37,PLOS,US,1
ur.0620203621.45,PLOS,US,1
ur.0620227100.15,PLOS,NL,1
ur.0620236761.09,PLOS,US,1
ur.0620242547.10,PLOS,US,1
ur.0620245102.02,PLOS,US,1
ur.0620260715.89,PLOS,IN,2
ur.0620264541.43,PLOS,US,1
ur.0620273561.33,PLOS,AU,1
ur.0620274522.24,PLOS,MW,2
ur.0620310212.67,PLOS,NZ,1
ur.0620314106.17,PLOS,GB,1
ur.0620363234.91,PLOS,LB,2
